Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1600000US3735340,3735340,"Keener CDP, North Carolina",435,354
1600000US3735360,3735360,"Kelford town, North Carolina",379,178
1600000US3735440,3735440,"Kelly CDP, North Carolina",349,241
1600000US3735460,3735460,"Kenansville town, North Carolina",834,185
1600000US3735540,3735540,"Kenly town, North Carolina",1935,372
1600000US3735600,3735600,"Kernersville town, North Carolina",23988,127
1600000US3735720,3735720,"Kill Devil Hills town, North Carolina",6978,22
1600000US3735760,3735760,"King city, North Carolina",6763,182
1600000US3735870,3735870,"Kings Grant CDP, North Carolina",9119,784
1600000US3735880,3735880,"Kings Mountain city, North Carolina",10929,366
1600000US3735890,3735890,"Kingstown town, North Carolina",612,151
1600000US3735920,3735920,"Kinston city, North Carolina",21004,36
1600000US3736020,3736020,"Kittrell town, North Carolina",196,143
1600000US3736060,3736060,"Kitty Hawk town, North Carolina",3422,16
1600000US3736080,3736080,"Knightdale town, North Carolina",14363,37
1600000US3736220,3736220,"Kure Beach town, North Carolina",2295,257
1600000US3736400,3736400,"La Grange town, North Carolina",2723,15
1600000US3736480,3736480,"Lake Junaluska CDP, North Carolina",3108,508
1600000US3736500,3736500,"Lake Lure town, North Carolina",1418,204
1600000US3736511,3736511,"Lake Norman of Catawba CDP, North Carolina",8060,475
1600000US3736512,3736512,"Lake Park village, North Carolina",3706,22
1600000US3736513,3736513,"Lake Royale CDP, North Carolina",2677,767
1600000US3736514,3736514,"Lake Santeetlah town, North Carolina",52,24
1600000US3736640,3736640,"Lake Waccamaw town, North Carolina",1583,226
1600000US3736860,3736860,"Landis town, North Carolina",3076,19
1600000US3736960,3736960,"Lansing town, North Carolina",235,137
1600000US3737000,3737000,"Lasker town, North Carolina",196,97
1600000US3737040,3737040,"Lattimore town, North Carolina",468,104
1600000US3737120,3737120,"Laurel Hill CDP, North Carolina",1118,275
1600000US3737160,3737160,"Laurel Park town, North Carolina",2738,332
1600000US3737220,3737220,"Laurinburg city, North Carolina",15320,44
1600000US3737260,3737260,"Lawndale town, North Carolina",758,161
1600000US3737640,3737640,"Leggett town, North Carolina",25,20
1600000US3737680,3737680,"Leland town, North Carolina",18023,60
1600000US3737760,3737760,"Lenoir city, North Carolina",17890,50
1600000US3738030,3738030,"Lewiston Woodville town, North Carolina",575,192
1600000US3738040,3738040,"Lewisville town, North Carolina",13516,39
1600000US3738060,3738060,"Lexington city, North Carolina",18916,39
1600000US3738100,3738100,"Liberty town, North Carolina",2652,25
1600000US3738170,3738170,"Light Oak CDP, North Carolina",1023,402
1600000US3738200,3738200,"Lilesville town, North Carolina",399,168
1600000US3738220,3738220,"Lillington town, North Carolina",3477,24
1600000US3738320,3738320,"Lincolnton city, North Carolina",10574,24
1600000US3738360,3738360,"Linden town, North Carolina",126,37
1600000US3738680,3738680,"Littleton town, North Carolina",588,173
1600000US3738860,3738860,"Locust city, North Carolina",3253,185
1600000US3739280,3739280,"Long View town, North Carolina",5013,234
1600000US3739360,3739360,"Louisburg town, North Carolina",3503,22
1600000US3739420,3739420,"Love Valley town, North Carolina",100,36
1600000US3739480,3739480,"Lowell city, North Carolina",3591,18
